Dim,C,Accuracy(%)
raw,0.01,91.62754303599374
raw,0.1,91.62754303599374
raw,1.0,91.62754303599374
80,0.01,89.04538341158059
80,0.1,89.04538341158059
80,1.0,89.04538341158059
200,0.01,89.04538341158059
200,0.1,89.04538341158059
200,1.0,89.04538341158059
